Forsaken and jingg,Off Topic,0,5,25/3/2022,17:32
Check Forsaken's PC,General Discussion,1,5,19/4/2022,8:45
The Misunderstanding of Paper Rex,General Discussion,36,36,19/4/2022,9:33
Top 5 Duelists rn (RESONABLE HUMANS COME),General Discussion,6,57,22/5/2022,6:07
Team with the most firepower?,General Discussion,0,55,13/6/2022,2:35
Tiers of teams at masters (must read),General Discussion,0,72,26/6/2022,3:46
Odds on PRX vs FNC,General Discussion,4,48,16/7/2022,24:59
YORU,General Discussion,2,32,17/7/2022,2:20
PRX gonna fall apart next year? :((((,General Discussion,0,42,20/7/2022,13:26
Suygetsu best player of the tournament,General Discussion,0,10,23/7/2022,16:22
Best players in the world atm,General Discussion,5,32,15/8/2022,5:38
What would your VAL Roster be,General Discussion,0,73,23/8/2022,23:11
create ur dream collection,General Discussion,0,21,24/8/2022,20:28
Liquid vs prx,General Discussion,1,28,5/9/2022,14:16
aspas/yay,General Discussion,0,18,28/9/2022,18:08
Players - Signature Gun,General Discussion,0,42,20/10/2022,22:30
Ashamed to be Indiana.,General Discussion,2,16,18/11/2022,18:16
Jinggg or F0rsaken,General Discussion,2,30,23/11/2022,19:59
forsaken is the problem?,General Discussion,0,5,24/12/2022,17:15
best duelists,General Discussion,0,53,6/2/2023,4:29
forsaken sova,General Discussion,0,5,22/4/2023,18:06
Best pro for every agent,General Discussion,0,37,7/5/2023,13:07
forsaken Jett,General Discussion,1,5,17/6/2023,15:51
woke up to nrg losing ?,General Discussion,0,16,22/6/2023,3:00
TOP 10 PLAYERS ITW(current),General Discussion,0,49,22/6/2023,4:35
superteam,General Discussion,0,23,23/6/2023,1:30
Players I associate with for Every Agent,General Discussion,0,20,23/6/2023,13:59
Yay should switch roles ngl,General Discussion,0,31,17/7/2023,23:13
actual top 10 players of 2023 list,General Discussion,0,26,22/7/2023,22:39
Teabagging forsaken,General Discussion,0,5,10/8/2023,5:23
FORSAKEN ASTRA,General Discussion,1,5,20/8/2023,5:09
PRX fans come,General Discussion,0,21,20/8/2023,18:41
Who is the best flex player right now?,General Discussion,0,37,28/8/2023,12:31
Send Nn... help!,Off Topic,0,41,11/10/2023,24:15
Urgent question,Off Topic,0,10,19/12/2023,24:18
2024 Best Agent Players Predictions,General Discussion,0,44,4/1/2024,2:28
Top3 Players in the World for these Agents?,General Discussion,0,20,16/1/2024,3:43
HOT TAKE,General Discussion,1,17,16/3/2024,1:45
feels bad for forsaken,General Discussion,1,5,16/3/2024,4:46
forsaken 1v5ed???,General Discussion,1,5,16/3/2024,6:41
Paper rex real fix,General Discussion,0,56,16/3/2024,14:34
Best clips so far,General Discussion,1,20,20/3/2024,15:10
Less is by far the best player in the world atm,General Discussion,0,19,21/3/2024,17:06
Young Aspas,General Discussion,1,30,24/3/2024,4:00
What if benkai stayed on prx?,General Discussion,0,14,24/3/2024,5:59
"truth about ""flex"" players",General Discussion,12,35,28/3/2024,1:59
Pro Players Skins,General Discussion,0,14,8/4/2024,8:11
emea has the best player for almost every agent...,General Discussion,0,61,25/4/2024,10:24
All time best players by role,General Discussion,1,32,25/4/2024,14:39
goat team,General Discussion,0,22,7/5/2024,15:17
Goat of every role,General Discussion,0,38,13/5/2024,6:51
Chronicle >>>>> F0rsaken by far,General Discussion,0,67,13/5/2024,7:01
"forsaken,victor,rb neon",General Discussion,0,5,5/6/2024,23:32
Jingg,General Discussion,42,90,13/7/2024,18:28
PRX Ascent,General Discussion,0,17,13/7/2024,18:54
f0rsakeN PLZ,General Discussion,1,57,14/7/2024,12:29
Paper Rex need to be less flexible,General Discussion,4,11,23/7/2024,12:31
Champs VLR Fantasy League,General Discussion,14,86,31/7/2024,2:57
Come make your best roster,General Discussion,0,24,12/9/2024,11:49
This or That (player edition),General Discussion,0,26,20/9/2024,19:32
If I was HC of PRX...,General Discussion,2,62,18/10/2024,24:26
PRX fix,General Discussion,0,31,22/10/2024,14:20
Valorant Fantasy Draft,General Discussion,0,23,27/10/2024,15:06
dream 2025 roster,General Discussion,0,33,4/1/2025,12:25
please let my david go,General Discussion,0,24,22/1/2025,4:31
PRX Roster Rankings,General Discussion,0,25,27/1/2025,11:48
Top 5 IGL all time,General Discussion,0,35,2/2/2025,15:06
asians come,General Discussion,0,42,2/2/2025,23:56
PRX real fix,General Discussion,0,34,3/2/2025,12:22
Wasted talent,General Discussion,8,23,22/3/2025,13:59
F0rsaken,General Discussion,5,34,23/3/2025,20:46
rebuild around forsaken,General Discussion,1,5,30/3/2025,19:46
prx is just kinda cooked,General Discussion,0,15,31/3/2025,15:01
forsaken meet forsaken,General Discussion,3,4,13/10/2021,12:49
Forsaken ACE,General Discussion,2,4,23/7/2022,1:41
Forsaken still not clear corner,General Discussion,0,4,24/6/2023,14:35
forsaken goat,General Discussion,1,4,20/8/2023,5:50
TenZ needs to copy Forsaken,General Discussion,3,4,29/9/2023,19:37
Forsaken family matchup,General Discussion,0,4,7/4/2024,21:42
PRX Forsaken GOATED,General Discussion,2,4,6/5/2024,18:43
jinggg tejo forsaken waylay,General Discussion,0,4,23/3/2025,20:00
f0rsakeN in Berlin,General Discussion,4,56,21/8/2021,19:55
F0rsaken vs Patipan,General Discussion,1,14,11/9/2021,23:44
skRossi - from a non indian,General Discussion,0,17,11/9/2021,23:57
PRX Fans,General Discussion,0,18,11/10/2021,2:11
prx comp,General Discussion,1,20,13/10/2021,12:29
PRX :(,General Discussion,1,20,18/10/2021,1:51
SEA fans come here,General Discussion,0,13,18/10/2021,2:25
Iconic Players Iconic Skins,General Discussion,4,86,28/11/2021,20:08
Riot...,General Discussion,1,20,14/12/2021,8:01
Your favorite Vandal Skin,General Discussion,2,29,1/1/2022,19:41
