team_name,team_aggr,total_map_win,best_of_type,pick_team,match_res,map_stats,total_win,t_win,ct_win,event_name,match_type,player_list,ban_map_1,ban_map_2,pick_map_1,pick_map_2,pick_map_3,match_map_1,match_map_2,match_map_3,match_map_4,match_map_5,match_url
Natus Vincere,NAVI,2,Bo3,A,win,"[['Split', 11, 5, 6], ['Haven', 7, 2, 5]]",18,7,11,VCT 2026: EMEA Kickoff,Main Event: Upper Round 1,"['NAVI Ruxic', 'NAVI hiro', 'NAVI Filu', 'NAVI sociablEE', 'NAVI Shao']",Corrode,Abyss,Split,Bind,-,Split,Haven,-,-,-,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1
Karmine Corp,KC,0,Bo3,B,loss,"[['Split', 13, 6, 7], ['Haven', 13, 3, 10]]",26,9,17,VCT 2026: EMEA Kickoff,Main Event: Upper Round 1,"['KC SUYGETSU', 'KC Avez', 'KC dos9', 'KC LewN', 'KC sheydos']",Pearl,Breeze,Haven,Bind,-,Split,Haven,-,-,-,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1
FUT Esports,FUT,0,Bo3,A,loss,"[['Abyss', 13, 7, 6], ['Split', 13, 5, 8]]",26,12,14,VCT 2026: EMEA Kickoff,Main Event: Upper Round 1,"['FUT xeus', 'FUT yetujey', 'FUT KROSTALY', 'FUT MrFaliN', 'FUT baha']",Haven,Pearl,Abyss,Corrode,-,Abyss,Split,-,-,-,https://www.vlr.gg/594741/fut-esports-vs-gentle-mates-vct-2026-emea-kickoff-ur1
Gentle Mates,M8,2,Bo3,B,win,"[['Abyss', 8, 3, 5], ['Split', 6, 4, 2]]",14,7,7,VCT 2026: EMEA Kickoff,Main Event: Upper Round 1,"['M8 starxo', 'M8 Minny', 'M8 marteen', 'M8 bipo', 'M8 GLYPH']",Breeze,Bind,Split,Corrode,-,Abyss,Split,-,-,-,https://www.vlr.gg/594741/fut-esports-vs-gentle-mates-vct-2026-emea-kickoff-ur1
PCIFIC Esports,PCF,1,Bo3,B,loss,"[['Breeze', 10, 7, 3], ['Abyss', 13, 7, 6], ['Pearl', 4, 2, 2]]",27,16,11,VCT 2026: EMEA Kickoff,Main Event: Upper Round 1,"['PCF seven', 'PCF al0rante', 'PCF qpert', 'PCF NINJA', 'PCF cNed']",Haven,Split,Abyss,Pearl,-,Breeze,Abyss,Pearl,-,-,https://www.vlr.gg/594742/pcific-esports-vs-bbl-esports-vct-2026-emea-kickoff-ur1
BBL Esports,BBL,2,Bo3,A,win,"[['Breeze', 13, 9, 4], ['Abyss', 7, 2, 5], ['Pearl', 13, 3, 10]]",33,14,19,VCT 2026: EMEA Kickoff,Main Event: Upper Round 1,"['BBL Loita', 'BBL rock lovers', 'BBL Rosé', 'BBL Lar0k', 'BBL Crewen']",Corrode,Bind,Breeze,Pearl,-,Breeze,Abyss,Pearl,-,-,https://www.vlr.gg/594742/pcific-esports-vs-bbl-esports-vct-2026-emea-kickoff-ur1
ULF Esports,ULF,0,Bo3,B,loss,"[['Breeze', 3, 2, 1], ['Corrode', 1, 1, 0]]",4,3,1,VCT 2026: EMEA Kickoff,Main Event: Upper Round 1,"['ULF audaz', 'ULF Favian', 'ULF nekky', 'ULF sturNN', 'ULF d3mur']",Bind,Pearl,Corrode,Abyss,-,Breeze,Corrode,-,-,-,https://www.vlr.gg/594743/ulf-esports-vs-team-vitality-vct-2026-emea-kickoff-ur1
Team Vitality,VIT,2,Bo3,A,win,"[['Breeze', 13, 3, 10], ['Corrode', 13, 2, 11]]",26,5,21,VCT 2026: EMEA Kickoff,Main Event: Upper Round 1,"['VIT Derke', 'VIT Chronicle', 'VIT PROFEK', 'VIT Jamppi', 'VIT UNFAKE']",Split,Haven,Breeze,Abyss,-,Breeze,Corrode,-,-,-,https://www.vlr.gg/594743/ulf-esports-vs-team-vitality-vct-2026-emea-kickoff-ur1
Team Heretics,TH,1,Bo3,B,loss,"[['Bind', 10, 4, 6], ['Haven', 13, 9, 4], ['Split', 6, 3, 3]]",29,16,13,VCT 2026: EMEA Kickoff,Main Event: Upper Round 2,"['TH RieNs', 'TH Wo0t', 'TH Boo', 'TH benjyfishy', 'TH ComeBack']",Abyss,Pearl,Haven,Split,-,Bind,Haven,Split,-,-,https://www.vlr.gg/594744/team-heretics-vs-natus-vincere-vct-2026-emea-kickoff-ur2
Natus Vincere,NAVI,2,Bo3,A,win,"[['Bind', 13, 5, 8], ['Haven', 11, 8, 3], ['Split', 13, 4, 9]]",37,17,20,VCT 2026: EMEA Kickoff,Main Event: Upper Round 2,"['NAVI hiro', 'NAVI Ruxic', 'NAVI sociablEE', 'NAVI Filu', 'NAVI Shao']",Corrode,Breeze,Bind,Split,-,Bind,Haven,Split,-,-,https://www.vlr.gg/594744/team-heretics-vs-natus-vincere-vct-2026-emea-kickoff-ur2
