prx jinggg,General Discussion,3,15,"August 27, 2023 at 10:04 AM AEST"
Juicy and jinggg,General Discussion,2,15,"April 27, 2024 at 10:17 PM AEST"
If I was HC of PRX...,General Discussion,2,62,"October 18, 2024 at 12:26 PM AEDT"
Prx Jinggg,General Discussion,0,15,"November 28, 2024 at 10:58 PM AEDT"
Polvi vs Jinggg agent pool comparison,General Discussion,4,14,"August 4, 2024 at 7:57 PM AEST"
Jinggg aura,General Discussion,0,14,"December 2, 2024 at 6:43 PM AEDT"
Come PRX Jinggg Fan,General Discussion,0,14,"February 10, 2025 at 2:37 AM AEDT"
Fav players from Reykjavik,General Discussion,3,47,"April 17, 2022 at 10:00 PM AEST"
Top 3 Best Raze Players Worldwide,General Discussion,1,46,"July 21, 2023 at 10:06 PM AEST"
Replacement for Jinggg,General Discussion,0,14,"September 13, 2023 at 5:09 PM AEST"
Yay Victor > F0rsaken Jinggg,General Discussion,0,13,"July 18, 2022 at 9:29 PM AEST"
Why Derke raze> Jinggg raze,General Discussion,0,13,"June 24, 2023 at 2:22 PM AEST"
Jinggg parent,General Discussion,0,13,"August 27, 2023 at 9:45 PM AEST"
JINGGG'S FINAL TOURNAMENT,General Discussion,0,13,"December 10, 2023 at 7:23 PM AEDT"
jinggg medical issue,General Discussion,24,13,"February 2, 2025 at 2:54 AM AEDT"
Jinggg mom,General Discussion,1,13,"March 3, 2025 at 10:23 PM AEDT"
JINGGG EGO,General Discussion,0,13,"August 27, 2023 at 9:07 AM AEST"
PRX next year,General Discussion,1,44,"September 15, 2023 at 10:19 PM AEST"
KR Raze GOD - Jinggg 2.0 ?,General Discussion,5,13,"September 27, 2023 at 2:53 AM AEST"
Paper Rex,General Discussion,1,50,"October 7, 2024 at 2:35 PM AEDT"
Jinggg national service,General Discussion,10,13,"March 6, 2025 at 9:17 PM AEDT"
Tenz vs Jinggg,General Discussion,0,12,"August 27, 2022 at 2:35 AM AEST"
KICK JINGGG FRAUD,General Discussion,0,12,"April 21, 2024 at 10:17 PM AEST"
McDonalds Jinggg,General Discussion,0,12,"June 5, 2024 at 11:43 PM AEST"
Jinggg need to learn kj/cypher,General Discussion,0,12,"July 14, 2024 at 5:16 PM AEST"
Jinggg has been horrendous so far,General Discussion,5,12,"August 4, 2024 at 7:43 PM AEST"
-Jinggg +rb?,General Discussion,0,12,"August 26, 2024 at 7:12 PM AEST"
Forsaken express interest to join FNATIC/M3C,General Discussion,8,96,"July 6, 2022 at 11:22 PM AEST"
APAC Come,General Discussion,1,86,"October 24, 2022 at 1:53 AM AEDT"
f0rsaken,General Discussion,2,40,"August 4, 2024 at 11:13 PM AEST"
Jinggg Tweet,General Discussion,0,11,"August 23, 2022 at 4:48 PM AEST"
jinggg aim,General Discussion,0,11,"September 2, 2022 at 8:08 AM AEST"
Met jinggg unrated today,General Discussion,0,11,"January 3, 2023 at 12:09 AM AEDT"
JINGGG ON PHOENIX,General Discussion,1,11,"August 20, 2023 at 7:04 AM AEST"
People saying Monyet is better than Jinggg,General Discussion,0,11,"March 24, 2024 at 3:01 AM AEDT"
The return of Jinggg,General Discussion,0,11,"April 1, 2024 at 11:07 PM AEDT"
