FORSAKEN???,General Discussion,5,7,"March 16, 2024 at 4:10 AM AEDT"
Best player itw,General Discussion,1,52,"March 21, 2024 at 3:57 PM AEDT"
f0rsakeN vs chronicle,General Discussion,0,18,"April 20, 2024 at 9:52 PM AEST"
who are the best players right now?,General Discussion,0,86,"April 30, 2024 at 12:53 AM AEST"
f0rsaken is shit,General Discussion,0,62,"May 13, 2024 at 1:00 PM AEST"
make your world roster,General Discussion,3,100,"May 29, 2024 at 9:20 AM AEST"
first player you think of when you see every agent,General Discussion,0,55,"July 30, 2024 at 3:41 AM AEST"
how does forsaken keep sneaking into goat debates,General Discussion,1,7,"August 19, 2024 at 6:20 AM AEST"
"let’s play a game , vlr!",General Discussion,10,44,"September 17, 2024 at 12:17 PM AEST"
top 5 overrated players go,General Discussion,0,97,"October 14, 2024 at 3:03 AM AEDT"
2024 best Ace,General Discussion,0,56,"October 29, 2024 at 2:25 AM AEDT"
Drop your Classic skin and I'll rate it.,General Discussion,0,125,"November 12, 2024 at 2:04 AM AEDT"
PRX IGL,General Discussion,0,27,"February 2, 2025 at 6:35 AM AEDT"
platchat???,General Discussion,0,28,"March 11, 2025 at 2:33 AM AEDT"
Forsaken true role is Sentinel?,General Discussion,2,6,"April 9, 2023 at 2:02 AM AEST"
Forsaken sabotage PRX,General Discussion,0,6,"June 24, 2023 at 2:37 PM AEST"
Forsaken vs Something,General Discussion,0,6,"August 27, 2023 at 1:04 PM AEST"
OG forsaken > forsak3n > f0rsaken,General Discussion,0,6,"December 7, 2023 at 9:06 PM AEDT"
Forsaken Crosshair,General Discussion,0,6,"March 24, 2024 at 4:05 AM AEDT"
"Cryo looking like 22 Xset, He this years Forsaken?",General Discussion,0,6,"May 11, 2024 at 1:04 AM AEST"
forsaken and boaster,General Discussion,0,6,"May 30, 2024 at 3:38 AM AEST"
Forsaken Breach,General Discussion,2,6,"August 11, 2024 at 9:56 PM AEST"
skrossi,General Discussion,0,32,"October 14, 2021 at 11:52 PM AEDT"
best apac jetts,General Discussion,0,54,"March 13, 2022 at 1:42 AM AEDT"
F0rsaken vs Surf vs Pati,General Discussion,0,22,"March 25, 2022 at 1:17 AM AEDT"
