Paper Rex vs. Team SMG,Champions Tour Malaysia & Singapore Stage 3: Challengers 2,win,Paper Rex,Team SMG,2,0,23/07/2021,9:00
UwU vs. Paper Rex,Champions Tour Malaysia & Singapore Stage 3: Challengers 1,win,Paper Rex,UwU,3,0,11/07/2021,11:30
Paper Rex vs. Todak,Champions Tour Malaysia & Singapore Stage 3: Challengers 1,win,Paper Rex,Todak,2,0,11/07/2021,9:00
Paper Rex vs. UwU,Champions Tour Malaysia & Singapore Stage 3: Challengers 1,loss,Paper Rex,UwU,1,2,10/07/2021,16:00
Paper Rex vs. Kingsmen,Champions Tour Malaysia & Singapore Stage 3: Challengers 1,win,Paper Rex,Kingsmen,2,0,10/07/2021,9:00
Paper Rex vs. Saints,Champions Tour Malaysia & Singapore Stage 3: Challengers 1,win,Paper Rex,Saints,2,0,09/07/2021,9:30
BOOM Esports vs. Paper Rex,VALO2ASIA Invitational,loss,Paper Rex,BOOM Esports,0,2,27/06/2021,12:00
Zeal Esports vs. Paper Rex,KJC eSports VALORANT Tournament: One,loss,Paper Rex,Zeal Esports,1,3,26/06/2021,14:00
Paper Rex vs. XcN Gaming,KJC eSports VALORANT Tournament: One,win,Paper Rex,XcN Gaming,2,1,25/06/2021,20:00
Paper Rex vs. Griffin E-Sports,KJC eSports VALORANT Tournament: One,win,Paper Rex,Griffin E-Sports,1,0,24/06/2021,18:00
Paper Rex vs. Louvre,KJC eSports VALORANT Tournament: One,win,Paper Rex,Louvre,1,0,21/06/2021,21:00
Paper Rex vs. Team Solace,KJC eSports VALORANT Tournament: One,win,Paper Rex,Team Solace,1,0,21/06/2021,20:00
Paper Rex vs. RunDownMid,KJC eSports VALORANT Tournament: One,win,Paper Rex,RunDownMid,1,0,21/06/2021,19:00
Paper Rex vs. FULL SENSE,Champions Tour SEA Stage 2: Challengers Finals,loss,Paper Rex,FULL SENSE,1,2,02/05/2021,13:00
Paper Rex vs. X10 Esports,Champions Tour SEA Stage 2: Challengers Finals,loss,Paper Rex,X10 Esports,1,2,01/05/2021,19:30
Bren Esports vs. Paper Rex,Champions Tour SEA Stage 2: Challengers Finals,win,Paper Rex,Bren Esports,2,1,30/04/2021,16:45
FULL SENSE vs. Paper Rex,Champions Tour SEA Stage 2: Challengers Finals,win,Paper Rex,FULL SENSE,2,1,29/04/2021,17:00
Paper Rex vs. Team SMG,Champions Tour Malaysia & Singapore Stage 2: Challengers 3,win,Paper Rex,Team SMG,3,2,25/04/2021,13:00
Paper Rex vs. Louvre,Champions Tour Malaysia & Singapore Stage 2: Challengers 3,win,Paper Rex,Louvre,2,1,24/04/2021,13:50
Paper Rex vs. Todak,Champions Tour Malaysia & Singapore Stage 2: Challengers 3,win,Paper Rex,Todak,2,1,23/04/2021,14:25
Paper Rex vs. Louvre,Champions Tour Malaysia & Singapore Stage 2: Challengers 2,win,Paper Rex,Louvre,3,1,18/04/2021,11:30
Team SMG vs. Paper Rex,Champions Tour Malaysia & Singapore Stage 2: Challengers 2,win,Paper Rex,Team SMG,2,1,17/04/2021,18:00
Paper Rex vs. Louvre,Champions Tour Malaysia & Singapore Stage 2: Challengers 2,win,Paper Rex,Louvre,2,1,17/04/2021,12:00
Paper Rex vs. Timing Monster Gaming,Champions Tour Malaysia & Singapore Stage 2: Challengers 2,win,Paper Rex,Timing Monster Gaming,2,0,16/04/2021,14:25
